ax_clip,deltaf_clip_deg,timestep
-3.575322329998016357e-01,-7.000000000000000000e+00,1.080000000000000000e+02
-3.453446924686431885e-01,-5.683987140655517578e+00,1.090000000000000000e+02
-3.159092068672180176e-01,-1.131064891815185547e+00,1.100000000000000000e+02
-2.319564223289489746e-01,2.919522285461425781e+00,1.110000000000000000e+02
-2.084289789199829102e-01,4.389872074127197266e+00,1.120000000000000000e+02
-2.621626853942871094e-01,3.445351362228393555e+00,1.130000000000000000e+02
-2.721574306488037109e-01,1.534653186798095703e+00,1.140000000000000000e+02
-2.331008762121200562e-01,1.142226085066795349e-01,1.150000000000000000e+02
-1.991623342037200928e-01,-1.585744470357894897e-01,1.160000000000000000e+02
-1.785664707422256470e-01,4.503109455108642578e-01,1.170000000000000000e+02
-1.599755436182022095e-01,1.235777854919433594e+00,1.180000000000000000e+02
-1.460115313529968262e-01,1.651379942893981934e+00,1.190000000000000000e+02
-1.376544684171676636e-01,1.575169205665588379e+00,1.200000000000000000e+02
-1.285138130187988281e-01,1.217371106147766113e+00,1.210000000000000000e+02
-1.160657554864883423e-01,8.738242387771606445e-01,1.220000000000000000e+02
-1.030390784144401550e-01,7.242267131805419922e-01,1.230000000000000000e+02
-9.162872284650802612e-02,7.705498337745666504e-01,1.240000000000000000e+02
-8.215496689081192017e-02,9.008083343505859375e-01,1.250000000000000000e+02
-7.444700598716735840e-02,9.961714148521423340e-01,1.260000000000000000e+02
-6.805644184350967407e-02,1.002191424369812012e+00,1.270000000000000000e+02
-6.225304305553436279e-02,9.358634948730468750e-01,1.280000000000000000e+02
-5.656494945287704468e-02,8.495572805404663086e-01,1.290000000000000000e+02
-5.105193704366683960e-02,7.879975438117980957e-01,1.300000000000000000e+02
-4.596596211194992065e-02,7.658082246780395508e-01,1.310000000000000000e+02
7.048199325799942017e-02,7.702034711837768555e-01,1.320000000000000000e+02
3.429703712463378906e-01,7.888232469558715820e-01,1.330000000000000000e+02
6.438501477241516113e-01,8.196964263916015625e-01,1.340000000000000000e+02
