cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-5.193314552307128906e+00,-2.572937965393066406e+00,3.800000000000000000e+01
-1.000000000000000000e+00,-4.316647529602050781e+00,-2.652390956878662109e+00,3.900000000000000000e+01
-1.000000000000000000e+00,-3.467647075653076172e+00,-2.646447658538818359e+00,4.000000000000000000e+01
-1.000000000000000000e+00,-2.692267417907714844e+00,-2.632816314697265625e+00,4.100000000000000000e+01
-1.000000000000000000e+00,-1.967918634414672852e+00,-2.687909841537475586e+00,4.200000000000000000e+01
-1.000000000000000000e+00,-1.573991298675537109e+00,-2.860844850540161133e+00,4.300000000000000000e+01
-1.000000000000000000e+00,-1.449887990951538086e+00,-3.157596111297607422e+00,4.400000000000000000e+01
-1.000000000000000000e+00,-1.451804161071777344e+00,-3.513961791992187500e+00,4.500000000000000000e+01
-1.000000000000000000e+00,-1.555343151092529297e+00,-3.625260353088378906e+00,4.600000000000000000e+01
-1.000000000000000000e+00,-1.643363714218139648e+00,-3.331378936767578125e+00,4.700000000000000000e+01
-1.000000000000000000e+00,-1.596086025238037109e+00,-2.980476856231689453e+00,4.800000000000000000e+01
-1.000000000000000000e+00,-1.399881601333618164e+00,-2.695016384124755859e+00,4.900000000000000000e+01
-1.000000000000000000e+00,-1.402511835098266602e+00,-2.529040813446044922e+00,5.000000000000000000e+01
-1.000000000000000000e+00,-1.525995254516601562e+00,-2.471103191375732422e+00,5.100000000000000000e+01
-1.000000000000000000e+00,-1.759148597717285156e+00,-2.472440242767333984e+00,5.200000000000000000e+01
-1.000000000000000000e+00,-2.069480895996093750e+00,-2.456756591796875000e+00,5.300000000000000000e+01
-1.000000000000000000e+00,-2.353485345840454102e+00,-2.338493824005126953e+00,5.400000000000000000e+01
-1.000000000000000000e+00,-2.496971368789672852e+00,-2.092890501022338867e+00,5.500000000000000000e+01
-1.000000000000000000e+00,-3.100488662719726562e+00,-1.799148797988891602e+00,5.600000000000000000e+01
-1.000000000000000000e+00,-3.763854026794433594e+00,-1.553555727005004883e+00,5.700000000000000000e+01
-1.000000000000000000e+00,-7.774936676025390625e+00,-1.395960330963134766e+00,5.800000000000000000e+01
-1.000000000000000000e+00,-5.072697639465332031e+00,-1.310489892959594727e+00,5.900000000000000000e+01
-1.000000000000000000e+00,-5.642816543579101562e+00,-1.255247592926025391e+00,6.000000000000000000e+01
-1.000000000000000000e+00,-9.447445869445800781e+00,-1.179428815841674805e+00,6.100000000000000000e+01
