ax_clip,deltaf_clip_deg,timestep
-2.865676879882812500e-01,7.000000000000000000e+00,1.080000000000000000e+02
-2.825791835784912109e-01,7.000000000000000000e+00,1.090000000000000000e+02
-2.791074216365814209e-01,7.000000000000000000e+00,1.100000000000000000e+02
-2.760775983333587646e-01,5.992025375366210938e+00,1.110000000000000000e+02
-2.595684528350830078e-01,3.557043552398681641e+00,1.120000000000000000e+02
-2.058454155921936035e-01,1.833315491676330566e+00,1.130000000000000000e+02
-1.524533331394195557e-01,1.270273685455322266e+00,1.140000000000000000e+02
-1.233061179518699646e-01,1.824018955230712891e+00,1.150000000000000000e+02
-1.074781045317649841e-01,2.828980684280395508e+00,1.160000000000000000e+02
1.179959475994110107e-01,2.228726148605346680e+00,1.170000000000000000e+02
4.309693276882171631e-01,7.449509501457214355e-01,1.180000000000000000e+02
6.730656623840332031e-01,-5.048649907112121582e-01,1.190000000000000000e+02
9.439612030982971191e-01,-9.302163124084472656e-01,1.200000000000000000e+02
1.180555224418640137e+00,-5.874952673912048340e-01,1.210000000000000000e+02
1.339708805084228516e+00,6.936466693878173828e-02,1.220000000000000000e+02
1.541426897048950195e+00,5.747357606887817383e-01,1.230000000000000000e+02
1.721221089363098145e+00,7.076847553253173828e-01,1.240000000000000000e+02
1.825891375541687012e+00,5.219397544860839844e-01,1.250000000000000000e+02
1.977215290069580078e+00,2.213862091302871704e-01,1.260000000000000000e+02
2.114297628402709961e+00,3.702645655721426010e-03,1.270000000000000000e+02
2.237405061721801758e+00,-4.286011680960655212e-02,1.280000000000000000e+02
2.347823143005371094e+00,5.037195980548858643e-02,1.290000000000000000e+02
2.447123765945434570e+00,1.875296682119369507e-01,1.300000000000000000e+02
2.536375999450683594e+00,2.788171768188476562e-01,1.310000000000000000e+02
2.616502523422241211e+00,2.856097817420959473e-01,1.320000000000000000e+02
2.688579559326171875e+00,2.251421511173248291e-01,1.330000000000000000e+02
2.753559112548828125e+00,1.451490223407745361e-01,1.340000000000000000e+02
2.812090635299682617e+00,9.056830406188964844e-02,1.350000000000000000e+02
2.920683383941650391e+00,8.073897659778594971e-02,1.360000000000000000e+02
2.962316989898681641e+00,1.070837005972862244e-01,1.370000000000000000e+02
3.055692195892333984e+00,1.433642953634262085e-01,1.380000000000000000e+02
