reward,timestep
3.522770479321479797e-03,1.900000000000000000e+02
3.298839787021279335e-03,1.910000000000000000e+02
3.106329822912812233e-03,1.920000000000000000e+02
2.940959529951214790e-03,1.930000000000000000e+02
2.802262781187891960e-03,1.940000000000000000e+02
2.690493362024426460e-03,1.950000000000000000e+02
2.547532320022583008e-03,1.960000000000000000e+02
2.426118589937686920e-03,1.970000000000000000e+02
2.333726035431027412e-03,1.980000000000000000e+02
2.278291387483477592e-03,1.990000000000000000e+02
2.198502654209733009e-03,2.000000000000000000e+02
2.097779419273138046e-03,2.010000000000000000e+02
2.047910587862133980e-03,2.020000000000000000e+02
1.999538391828536987e-03,2.030000000000000000e+02
1.904986216686666012e-03,2.040000000000000000e+02
1.886576414108276367e-03,2.050000000000000000e+02
1.824692357331514359e-03,2.060000000000000000e+02
1.768318703398108482e-03,2.070000000000000000e+02
1.779649406671524048e-03,2.080000000000000000e+02
1.676436630077660084e-03,2.090000000000000000e+02
1.630872138775885105e-03,2.100000000000000000e+02
1.584938727319240570e-03,2.110000000000000000e+02
1.541345496661961079e-03,2.120000000000000000e+02
1.503169653005897999e-03,2.130000000000000000e+02
1.471727387979626656e-03,2.140000000000000000e+02
1.445035217329859734e-03,2.150000000000000000e+02
1.418760395608842373e-03,2.160000000000000000e+02
1.388986827805638313e-03,2.170000000000000000e+02
1.354086678475141525e-03,2.180000000000000000e+02
1.314814318902790546e-03,2.190000000000000000e+02
1.274264184758067131e-03,2.200000000000000000e+02
1.237865886650979519e-03,2.210000000000000000e+02
1.210961025208234787e-03,2.220000000000000000e+02
1.194139476865530014e-03,2.230000000000000000e+02
1.181498751975595951e-03,2.240000000000000000e+02
1.165009220130741596e-03,2.250000000000000000e+02
1.140041858889162540e-03,2.260000000000000000e+02
1.106163254007697105e-03,2.270000000000000000e+02
1.065439893864095211e-03,2.280000000000000000e+02
1.023812103085219860e-03,2.290000000000000000e+02
9.921269956976175308e-04,2.300000000000000000e+02
9.790152544155716896e-04,2.310000000000000000e+02
9.806075831875205040e-04,2.320000000000000000e+02
9.820030536502599716e-04,2.330000000000000000e+02
9.709059377200901508e-04,2.340000000000000000e+02
9.452074882574379444e-04,2.350000000000000000e+02
9.065619087778031826e-04,2.360000000000000000e+02
8.570557693019509315e-04,2.370000000000000000e+02
8.087893947958946228e-04,2.380000000000000000e+02
7.852033013477921486e-04,2.390000000000000000e+02
7.977355271577835083e-04,2.400000000000000000e+02
8.264939533546566963e-04,2.410000000000000000e+02
8.394339238293468952e-04,2.420000000000000000e+02
8.262032642960548401e-04,2.430000000000000000e+02
7.951902807690203190e-04,2.440000000000000000e+02
7.454142323695123196e-04,2.450000000000000000e+02
6.737938383594155312e-04,2.460000000000000000e+02
6.121774204075336456e-04,2.470000000000000000e+02
6.135112489573657513e-04,2.480000000000000000e+02
6.798075628466904163e-04,2.490000000000000000e+02
7.438518223352730274e-04,2.500000000000000000e+02
7.530912407673895359e-04,2.510000000000000000e+02
7.281128200702369213e-04,2.520000000000000000e+02
6.957731093280017376e-04,2.530000000000000000e+02
6.227950798347592354e-04,2.540000000000000000e+02
4.963650717400014400e-04,2.550000000000000000e+02
4.198712413199245930e-04,2.560000000000000000e+02
5.034187925048172474e-04,2.570000000000000000e+02
6.769765750505030155e-04,2.580000000000000000e+02
7.594086346216499805e-04,2.590000000000000000e+02
7.214511279016733170e-04,2.600000000000000000e+02
6.967005319893360138e-04,2.610000000000000000e+02
6.949832895770668983e-04,2.620000000000000000e+02
5.511305062100291252e-04,2.630000000000000000e+02
2.886951842810958624e-04,2.640000000000000000e+02
2.447240112815052271e-04,2.650000000000000000e+02
5.775263416580855846e-04,2.660000000000000000e+02
9.202131186611950397e-04,2.670000000000000000e+02
9.010912035591900349e-04,2.680000000000000000e+02
7.512476295232772827e-04,2.690000000000000000e+02
8.588464697822928429e-04,2.700000000000000000e+02
9.599644690752029419e-04,2.710000000000000000e+02
5.407944554463028908e-04,2.720000000000000000e+02
1.010807827697135508e-04,2.730000000000000000e+02
2.566570183262228966e-04,2.740000000000000000e+02
1.245382591150701046e-03,2.750000000000000000e+02
1.666369382292032242e-03,2.760000000000000000e+02
1.150676631368696690e-03,2.770000000000000000e+02
9.774923091754317284e-04,2.780000000000000000e+02
1.747370115481317043e-03,2.790000000000000000e+02
1.941494410857558250e-03,2.800000000000000000e+02
1.190199283882975578e-03,2.810000000000000000e+02
4.421492049004882574e-04,2.820000000000000000e+02
1.510816626250743866e-03,2.830000000000000000e+02
3.651506500318646431e-03,2.840000000000000000e+02
3.253857605159282684e-03,2.850000000000000000e+02
1.416084589436650276e-03,2.860000000000000000e+02
2.298597246408462524e-03,2.870000000000000000e+02
5.215887911617755890e-03,2.880000000000000000e+02
5.389038007706403732e-03,2.890000000000000000e+02
2.087099477648735046e-03,2.900000000000000000e+02
1.699248328804969788e-03,2.910000000000000000e+02
5.202864762395620346e-03,2.920000000000000000e+02
5.902141798287630081e-03,2.930000000000000000e+02
6.443484220653772354e-03,2.940000000000000000e+02
1.984392758458852768e-03,2.950000000000000000e+02
4.313184879720211029e-03,2.960000000000000000e+02
5.526533350348472595e-03,2.970000000000000000e+02
6.278842687606811523e-03,2.980000000000000000e+02
5.826977081596851349e-03,2.990000000000000000e+02
1.700715045444667339e-03,3.000000000000000000e+02
5.702641326934099197e-03,3.010000000000000000e+02
5.867008585482835770e-03,3.020000000000000000e+02
6.741190794855356216e-03,3.030000000000000000e+02
4.816719796508550644e-03,3.040000000000000000e+02
2.070002956315875053e-03,3.050000000000000000e+02
5.918662995100021362e-03,3.060000000000000000e+02
5.880933720618486404e-03,3.070000000000000000e+02
6.581638939678668976e-03,3.080000000000000000e+02
3.542425343766808510e-03,3.090000000000000000e+02
2.162693766877055168e-03,3.100000000000000000e+02
5.683917552232742310e-03,3.110000000000000000e+02
6.246974691748619080e-03,3.120000000000000000e+02
6.959384307265281677e-03,3.130000000000000000e+02
3.059556707739830017e-03,3.140000000000000000e+02
3.114946186542510986e-03,3.150000000000000000e+02
5.815022625029087067e-03,3.160000000000000000e+02
6.170941051095724106e-03,3.170000000000000000e+02
6.762109696865081787e-03,3.180000000000000000e+02
2.220097696408629417e-03,3.190000000000000000e+02
3.835247363895177841e-03,3.200000000000000000e+02
5.845815874636173248e-03,3.210000000000000000e+02
6.540381815284490585e-03,3.220000000000000000e+02
6.988213863223791122e-03,3.230000000000000000e+02
2.082381164655089378e-03,3.240000000000000000e+02
5.299650132656097412e-03,3.250000000000000000e+02
5.928192287683486938e-03,3.260000000000000000e+02
6.506732665002346039e-03,3.270000000000000000e+02
5.838037934154272079e-03,3.280000000000000000e+02
1.718404237180948257e-03,3.290000000000000000e+02
5.900455638766288757e-03,3.300000000000000000e+02
6.077872589230537415e-03,3.310000000000000000e+02
6.816918961703777313e-03,3.320000000000000000e+02
4.783512558788061142e-03,3.330000000000000000e+02
2.072568750008940697e-03,3.340000000000000000e+02
5.989590659737586975e-03,3.350000000000000000e+02
6.005373783409595490e-03,3.360000000000000000e+02
6.623651832342147827e-03,3.370000000000000000e+02
3.504833672195672989e-03,3.380000000000000000e+02
2.204430522397160530e-03,3.390000000000000000e+02
5.765183828771114349e-03,3.400000000000000000e+02
6.284052971750497818e-03,3.410000000000000000e+02
6.948459893465042114e-03,3.420000000000000000e+02
2.982345875352621078e-03,3.430000000000000000e+02
3.158257808536291122e-03,3.440000000000000000e+02
5.850248038768768311e-03,3.450000000000000000e+02
6.214368157088756561e-03,3.460000000000000000e+02
6.778821814805269241e-03,3.470000000000000000e+02
2.183156320825219154e-03,3.480000000000000000e+02
3.953034989535808563e-03,3.490000000000000000e+02
5.878964439034461975e-03,3.500000000000000000e+02
6.551440339535474777e-03,3.510000000000000000e+02
6.872218102216720581e-03,3.520000000000000000e+02
2.039510291069746017e-03,3.530000000000000000e+02
5.380447953939437866e-03,3.540000000000000000e+02
5.947973579168319702e-03,3.550000000000000000e+02
6.534007843583822250e-03,3.560000000000000000e+02
5.688518751412630081e-03,3.570000000000000000e+02
1.728812116198241711e-03,3.580000000000000000e+02
5.908463150262832642e-03,3.590000000000000000e+02
6.078949198126792908e-03,3.600000000000000000e+02
6.801407318562269211e-03,3.610000000000000000e+02
4.622231703251600266e-03,3.620000000000000000e+02
2.078305231407284737e-03,3.630000000000000000e+02
5.959798581898212433e-03,3.640000000000000000e+02
6.029085721820592880e-03,3.650000000000000000e+02
6.654812023043632507e-03,3.660000000000000000e+02
3.419035114347934723e-03,3.670000000000000000e+02
2.297806087881326675e-03,3.680000000000000000e+02
5.774936173111200333e-03,3.690000000000000000e+02
6.282292306423187256e-03,3.700000000000000000e+02
6.934299133718013763e-03,3.710000000000000000e+02
2.877247286960482597e-03,3.720000000000000000e+02
3.246770706027746201e-03,3.730000000000000000e+02
5.844194442033767700e-03,3.740000000000000000e+02
6.247733253985643387e-03,3.750000000000000000e+02
6.807030178606510162e-03,3.760000000000000000e+02
2.146170707419514656e-03,3.770000000000000000e+02
4.121727310121059418e-03,3.780000000000000000e+02
5.890735425055027008e-03,3.790000000000000000e+02
6.555952597409486771e-03,3.800000000000000000e+02
6.738103926181793213e-03,3.810000000000000000e+02
1.993200974538922310e-03,3.820000000000000000e+02
5.486193578690290451e-03,3.830000000000000000e+02
