x,y,vx,vy,theta,dtheta,bw,bh,timestep
6.416664886474609375e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01
6.333331680297851562e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+01
6.249998474121093750e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.200000000000000000e+01
6.166665267944335938e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01
6.083332061767578125e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+01
5.999998855590820312e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+01
5.916665649414062500e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.600000000000000000e+01
5.833332443237304688e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.700000000000000000e+01
5.749999237060546875e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01
5.666666030883789062e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01
5.583332824707031250e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01
5.499999618530273438e+01,3.000000000000000000e+00,-6.000000000000000000e+01,-5.245366537565132603e-06,-1.799999847412109375e+02,0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,2.100000000000000000e+01
