x,y,vx,vy,theta,dtheta,bw,bh,timestep
-2.826389312744140625e+01,1.608914375305175781e+00,6.119862365722656250e+01,8.843258857727050781e+00,9.698700904846191406e+00,5.190385055541992188e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.600000000000000000e+01
-2.741391181945800781e+01,1.731737613677978516e+00,6.048313140869140625e+01,7.318230152130126953e+00,1.229390048980712891e+01,3.029449081420898438e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.700000000000000000e+01
-2.657386779785156250e+01,1.833379745483398438e+00,5.936793518066406250e+01,7.834364414215087891e+00,1.380862522125244141e+01,-6.278921127319335938e+00,2.625000000000000000e+00,1.646999955177307129e+00,5.800000000000000000e+01
-2.574931335449218750e+01,1.942189693450927734e+00,5.817090606689453125e+01,1.001249122619628906e+01,1.349467658996582031e+01,-3.594529724121093750e+01,2.625000000000000000e+00,1.646999955177307129e+00,5.900000000000000000e+01
-2.494138336181640625e+01,2.081252574920654297e+00,5.695630645751953125e+01,1.240499782562255859e+01,1.169740295410156250e+01,-4.204350280761718750e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.000000000000000000e+01
-2.415032196044921875e+01,2.253543853759765625e+00,5.577123641967773438e+01,1.362717151641845703e+01,9.595230102539062500e+00,-2.213139343261718750e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.100000000000000000e+01
-2.337571907043457031e+01,2.442810297012329102e+00,5.498109436035156250e+01,1.262169647216796875e+01,8.488662719726562500e+00,3.147223234176635742e+00,2.625000000000000000e+00,1.646999955177307129e+00,6.200000000000000000e+01
-2.261209297180175781e+01,2.618111610412597656e+00,5.452167129516601562e+01,9.829179763793945312e+00,8.646025657653808594e+00,6.515597343444824219e+00,2.625000000000000000e+00,1.646999955177307129e+00,6.300000000000000000e+01
-2.185484695434570312e+01,2.754628419876098633e+00,5.390523910522460938e+01,7.819724082946777344e+00,8.971801757812500000e+00,-7.205920696258544922e+00,2.625000000000000000e+00,1.646999955177307129e+00,6.400000000000000000e+01
-2.110616302490234375e+01,2.863235235214233398e+00,5.311281204223632812e+01,7.252872943878173828e+00,8.611511230468750000e+00,-2.344905662536621094e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.500000000000000000e+01
-2.036848449707031250e+01,2.963969945907592773e+00,5.223777770996093750e+01,7.461605072021484375e+00,7.439055919647216797e+00,-2.991081237792968750e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.600000000000000000e+01
-1.964295768737792969e+01,3.067603111267089844e+00,5.132155227661132812e+01,7.515707492828369141e+00,5.943511962890625000e+00,-2.282629203796386719e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.700000000000000000e+01
-1.893015861511230469e+01,3.171988010406494141e+00,5.052283859252929688e+01,5.915807247161865234e+00,4.802200317382812500e+00,-2.431790542602539062e+01,2.625000000000000000e+00,1.646999955177307129e+00,6.800000000000000000e+01
